Order_ID,Customer_ID,Customer_Age,Customer_Type,Restaurant_Name,Restaurant_Rating,Cuisine,Order_Value,Discount_Applied,Payment_Method,Distance,Traffic_Level,Weather,Delivery_Time,Late_Delivery,Partner_Experience_Years,Vehicle_Type,Order_Time,Day_of_Week,Is_Weekend,Festival_Season,Delivery_Status
1,2327,34,Regular,Urban Kitchen,3.7,Indian,1148.25,29.28,Card,9.38,High,Clear,61.21,1,1.2,Scooter,2025-02-01 14:33:00,Saturday,1,0,Late
2,1521,23,Premium,Food Palace,4.7,Italian,781.17,28.32,UPI,1.29,Medium,Clear,13.28,0,4.9,Bike,2025-01-28 17:01:00,Tuesday,0,0,On-Time
3,1830,29,Premium,Urban Kitchen,3.4,Desserts,342.57,12.17,Cash,8.35,High,Stormy,94.21,1,2.4,Cycle,2025-02-23 04:18:00,Sunday,1,0,Late
4,2867,57,Regular,Spicy Hub,3.3,Fast Food,456.75,14.65,UPI,7.38,Low,Clear,37.68,0,4.0,Cycle,2025-03-09 15:16:00,Sunday,1,0,On-Time
5,4105,22,New,Urban Kitchen,4.2,Fast Food,198.77,24.3,UPI,3.39,Low,Stormy,36.39,0,0.8,Cycle,2025-03-06 17:53:00,Thursday,0,0,On-Time
6,4207,47,Premium,Spicy Hub,4.6,Fast Food,469.84,3.91,Cash,10.58,High,Clear,58.96,1,2.5,Scooter,2025-01-10 00:52:00,Friday,0,0,Late
7,3864,54,Premium,Food Palace,3.1,Italian,1104.79,10.35,Card,10.28,High,Stormy,107.41,1,1.9,Scooter,2025-02-06 05:15:00,Thursday,0,0,Late
8,4433,51,Regular,Spicy Hub,3.4,Italian,1168.06,31.01,Cash,14.15,Medium,Clear,80.85,1,4.5,Cycle,2025-03-21 16:11:00,Friday,0,0,Late
9,2540,23,Premium,Food Palace,3.2,Desserts,355.78,1.81,UPI,5.55,High,Stormy,56.33,1,2.2,Bike,2025-02-20 08:51:00,Thursday,0,0,Late
10,2569,29,Regular,Urban Kitchen,3.7,Desserts,444.98,21.71,Cash,2.97,Medium,Rainy,24.52,0,4.1,Cycle,2025-02-25 07:34:00,Tuesday,0,0,On-Time
11,4351,46,Regular,Food Palace,4.5,Desserts,358.65,0.22,Cash,12.42,Medium,Rainy,95.23,1,3.7,Scooter,2025-02-11 04:23:00,Tuesday,0,0,Late
12,2291,46,New,Spicy Hub,3.1,Italian,526.39,4.63,UPI,13.08,High,Clear,77.16,1,3.3,Bike,2025-02-03 19:30:00,Monday,0,0,Late
13,3682,18,New,Food Palace,3.6,Chinese,491.44,29.18,Cash,9.93,Medium,Stormy,80.8,1,4.5,Bike,2025-01-13 09:05:00,Monday,0,0,Late
14,1648,21,New,Food Palace,4.4,Indian,948.82,22.45,Cash,11.79,High,Stormy,121.61,1,2.7,Bike,2025-03-31 08:36:00,Monday,0,0,Late
15,3551,45,Regular,Spicy Hub,3.1,Desserts,263.29,1.26,Cash,9.91,High,Stormy,143.3,1,1.9,Bike,2025-02-27 10:20:00,Thursday,0,1,Late
16,2909,32,Premium,Food Palace,3.5,Fast Food,580.9,30.22,UPI,4.2,High,Rainy,35.12,0,0.8,Bike,2025-02-04 06:55:00,Tuesday,0,0,On-Time
17,4748,39,Premium,Spicy Hub,4.9,Fast Food,998.53,25.34,Card,13.2,High,Clear,76.25,1,4.1,Cycle,2025-03-04 06:57:00,Tuesday,0,0,Late
18,3100,21,New,Urban Kitchen,4.1,Fast Food,997.81,35.84,Cash,5.45,High,Rainy,43.86,0,1.0,Bike,2025-01-08 23:34:00,Wednesday,0,0,On-Time
19,4669,26,New,Spicy Hub,4.6,Italian,1053.77,0.28,UPI,8.15,Low,Stormy,50.51,1,2.4,Cycle,2025-03-27 00:51:00,Thursday,0,0,Late
20,4597,37,Regular,Urban Kitchen,3.7,Italian,1140.06,12.93,Cash,8.26,Low,Clear,40.65,0,3.7,Scooter,2025-03-25 22:43:00,Tuesday,0,0,On-Time
21,4277,38,Premium,Food Palace,4.9,Chinese,414.37,19.89,Card,5.21,High,Clear,32.07,0,1.8,Cycle,2025-02-28 17:00:00,Friday,0,0,On-Time
22,1572,49,New,Food Palace,4.0,Desserts,204.05,11.15,Card,13.72,Medium,Clear,61.61,1,1.6,Cycle,2025-02-18 21:42:00,Tuesday,0,0,Cancelled
23,3642,37,New,Spicy Hub,5.0,Indian,404.16,26.89,Card,11.66,High,Clear,84.78,1,1.6,Bike,2025-02-21 01:57:00,Friday,0,0,Late
24,4491,30,New,Urban Kitchen,4.3,Italian,815.21,21.43,Cash,2.26,High,Clear,20.75,0,4.3,Bike,2025-03-23 03:04:00,Sunday,1,0,On-Time
25,2915,31,Regular,Food Palace,3.1,Italian,770.44,27.1,UPI,1.23,High,Stormy,18.42,0,2.8,Bike,2025-01-31 02:57:00,Friday,0,0,On-Time
26,3421,30,New,Urban Kitchen,3.3,Italian,875.48,15.47,UPI,14.11,Medium,Clear,67.91,1,1.1,Scooter,2025-03-10 03:19:00,Monday,0,0,Late
27,1675,44,Premium,Food Palace,4.8,Desserts,1071.21,10.32,Card,10.24,Low,Stormy,74.99,1,4.2,Bike,2025-03-07 01:59:00,Friday,0,0,Late
28,1590,54,Regular,Spicy Hub,3.5,Fast Food,247.76,35.89,Cash,13.61,Medium,Stormy,102.86,1,3.3,Scooter,2025-01-17 08:18:00,Friday,0,0,Late
29,3433,28,New,Spicy Hub,4.5,Indian,1091.97,35.48,Cash,11.92,Medium,Clear,51.13,1,3.4,Bike,2025-03-19 18:12:00,Wednesday,0,0,Late
